ticket_id,planta_id,fecha_creacion,estado,tipo,criticidad,equipo_id,descripcion,costo_estimado_usd,impacto_estimado_kwh,sla_objetivo_horas,responsable,fecha_estimada_resolucion
TKT-0001,PV-001,2026-01-18,Pendiente,Predictivo,Crítica,INV-004,Mantenimiento de sistema de seguridad,16839.42,22082.41,4,Carlos Rodríguez,2026-02-15
TKT-0002,PV-001,2026-02-08,Pendiente,Emergencia,Crítica,,Mantenimiento de sistema de seguridad,30834.84,8636.2,4,Carlos Rodríguez,2026-02-23
TKT-0003,PV-001,2026-01-28,Pendiente,Predictivo,Crítica,INV-005,Falla en inversor - mensaje de error en pantalla,19093.9,23389.49,4,María González,2026-02-26
TKT-0004,PV-001,2025-12-21,Pendiente,Predictivo,Crítica,TRAFO-002,Mantenimiento de sistema de seguridad,23930.74,12144.75,4,Juan Pérez,2026-02-20
TKT-0005,PV-001,2026-02-07,Pendiente,Emergencia,Crítica,INV-001,Limpieza profunda de módulos fotovoltaicos,41835.42,21337.87,4,Ana Martínez,2026-02-17
TKT-0006,PV-001,2025-12-28,Pendiente,Predictivo,Alta,INV-002,Falla en inversor - mensaje de error en pantalla,14908.99,5678.74,24,Ana Martínez,2026-02-13
TKT-0007,PV-001,2026-01-21,Pendiente,Emergencia,Alta,INV-001,Reemplazo de ventiladores en inversor,14074.06,11015.61,24,María González,2026-02-24
TKT-0008,PV-001,2026-02-03,Pendiente,Predictivo,Alta,INV-004,Reparación de estructura de soporte,10178.63,10013.39,24,Carlos Rodríguez,2026-02-15
TKT-0009,PV-001,2026-01-09,Pendiente,Preventivo,Alta,,Reemplazo de ventiladores en inversor,10263.55,20766.65,24,Juan Pérez,2026-02-16
TKT-0010,PV-001,2026-01-02,Pendiente,Correctivo,Alta,INV-003,Revisión de conexiones en string,10891.06,22946.98,24,Ana Martínez,2026-02-17
TKT-0011,PV-001,2026-02-05,Pendiente,Emergencia,Alta,TRAFO-001,Revisión de conexiones en string,13592.73,21388.79,24,Carlos Rodríguez,2026-02-23
TKT-0012,PV-001,2025-12-19,Pendiente,Correctivo,Alta,,Reparación de sistema de monitoreo,8226.84,5262.7,24,María González,2026-02-15
TKT-0013,PV-001,2025-12-19,Pendiente,Correctivo,Alta,INV-002,Falla en inversor - mensaje de error en pantalla,11884.74,11610.63,24,Ana Martínez,2026-02-15
